listingId,project_name,coords,address,image_url
8346208,"Shyam villa,Bhankrota, Jaipur","Shyam villa,Bhankrota, Jaipur","['26.869242', '75.696717']",https://is1-3.housingcdn.com/01c16c28/2bb0c42d07e71879f07744809a679cc8/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
8346269,"Shyam villa,Mahapura, Jaipur","Shyam villa,Mahapura, Jaipur","['26.85043', '75.669295']",https://is1-2.housingcdn.com/01c16c28/00f1ad691e3e619e08916e104c2d6ba8/v0/medium/residential_plot-for-sale-mahapura-Jaipur-plot_view.jpg
8348786,"Om sai villa,Mahapura, Jaipur","Om sai villa,Mahapura, Jaipur","['26.85043', '75.669295']",https://is1-2.housingcdn.com/01c16c28/42185543f1b2a54a345af9ad14009fda/v0/medium/residential_plot-for-sale-mahapura-Jaipur-plot_view.jpg
7048540,Gokul Kripa Vaishali Extension,"Ganpati Nagar, Jaipur","['26.91267', '75.786644']",https://is1-3.housingcdn.com/01c16c28/32986516ebeba7cb3a8f8ca54bf727ab/v0/medium/residential_plot-for-sale-ganpati_nagar_jaipur-Jaipur-plot_view.jpg
7048611,Gokul Kripa Vaishali Extension,"Ganpati Nagar, Jaipur","['26.91267', '75.786644']",https://is1-3.housingcdn.com/01c16c28/32986516ebeba7cb3a8f8ca54bf727ab/v0/medium/residential_plot-for-sale-ganpati_nagar_jaipur-Jaipur-plot_view.jpg
7051640,Gokul Kripa Vaishali Extension,"Ganpati Nagar, Jaipur","['26.91267', '75.786644']",https://is1-3.housingcdn.com/01c16c28/32986516ebeba7cb3a8f8ca54bf727ab/v0/medium/residential_plot-for-sale-ganpati_nagar_jaipur-Jaipur-plot_view.jpg
6991002,"the royal city ext,Bhankrota, Jaipur","the royal city ext,Bhankrota, Jaipur","['26.868319', '75.697277']",https://is1-3.housingcdn.com/01c16c28/22e93f05f9965300cbbaa4750d086ebc/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
7001454,"the park royal,Bhankrota, Jaipur","the park royal,Bhankrota, Jaipur","['26.864965', '75.699131']",https://is1-2.housingcdn.com/01c16c28/1003a51f6f51bb7db128034a2005fd95/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
7001572,"the  royal park,Bhankrota, Jaipur","the  royal park,Bhankrota, Jaipur","['26.865455', '75.698994']",https://is1-2.housingcdn.com/01c16c28/1003a51f6f51bb7db128034a2005fd95/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
7001727,"the royal city extantion,Bhankrota, Jaipur","the royal city extantion,Bhankrota, Jaipur","['26.863985', '75.699818']",https://is1-3.housingcdn.com/01c16c28/22e93f05f9965300cbbaa4750d086ebc/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
